Column,Accident_Index,Accident_Severity,Date,Day_of_Week,Light_Conditions,Number_of_Casualties,Pedestrian_Crossing_Human_Control,Pedestrian_Crossing_Physical_Facilities,Police_Force,Road_Surface_Conditions,Road_Type,Special_Conditions_at_Site,Speed_limit,Time,Urban_or_Rural_Area,Weather_Conditions,Age_Band_of_Driver,Sex_of_Driver,Driver_age_sex,Vehicle_Type
6671,2016133C70200,Slight,2016-12-07,Wednesday,Darkness - no lighting,1,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,06:10:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6672,2016133C70262,Slight,2016-12-07,Wednesday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,07:41:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6673,2016133C70733,Serious,2016-12-07,Wednesday,Daylight,2,2,5,West Yorkshire,Dry,Single carriageway,None,30,12:45:00,Urban,Fine no high winds,Over 75,Male,Over 75_Male,9
6674,2016133C70883,Slight,2016-12-07,Wednesday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,14:10:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6675,2016133C70927,Serious,2016-12-07,Wednesday,Daylight,2,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,14:20:00,Urban,Fine no high winds,66 - 75,Male,66 - 75_Male,9
6676,2016133C71162,Slight,2016-12-07,Wednesday,Darkness - lights lit,1,0,4,West Yorkshire,Wet or damp,One way street,None,30,16:15:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6677,2016133C71536,Slight,2016-12-07,Wednesday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,18:15:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6678,2016133C80361,Slight,2016-12-08,Thursday,Darkness - lighting unknown,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,08:20:00,Urban,Fine no high winds,46 - 55,Male,46 - 55_Male,9
6679,2016133C81300,Fatal,2016-12-08,Thursday,Darkness - lights lit,1,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,18:46:00,Urban,Fine no high winds,56 - 65,Male,56 - 65_Male,9
6680,2016133C81411,Slight,2016-12-08,Thursday,Darkness - lights lit,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,18:29:00,Urban,Fine no high winds,46 - 55,Female,46 - 55_Female,9
6681,2016133C91046,Slight,2016-12-09,Friday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,15:30:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
6683,2016133CA1194,Slight,2016-12-10,Saturday,Darkness - lights lit,1,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,16:18:00,Urban,Fine no high winds,26 - 35,Male,26 - 35_Male,9
6684,2016133CA1278,Slight,2016-12-10,Saturday,Darkness - lights lit,1,2,5,West Yorkshire,Dry,Single carriageway,None,30,17:09:00,Urban,Fine no high winds,36 - 45,Male,36 - 45_Male,9
6685,2016133CA1432,Serious,2016-12-10,Saturday,Darkness - lights unlit,1,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,18:40:00,Urban,Raining no high winds,26 - 35,Male,26 - 35_Male,9
6686,2016133CB0163,Serious,2016-12-11,Sunday,Daylight,1,0,5,West Yorkshire,Dry,One way street,None,30,01:40:00,Urban,Fine no high winds,21 - 25,Male,21 - 25_Male,9
6687,2016133CB1665,Slight,2016-12-11,Sunday,Darkness - no lighting,1,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,21:11:00,Urban,Fine no high winds,Over 75,Male,Over 75_Male,9
6688,2016133CC0327,Serious,2016-12-12,Monday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,08:30:00,Urban,Fine no high winds,36 - 45,Female,36 - 45_Female,9
6689,2016133CC1318,Serious,2016-12-12,Monday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,13:18:00,Rural,Fine no high winds,46 - 55,Female,46 - 55_Female,9
6690,2016133CD0746,Slight,2016-12-13,Tuesday,Daylight,1,0,0,West Yorkshire,Dry,Single carriageway,None,30,13:54:00,Urban,Fine no high winds,26 - 35,Female,26 - 35_Female,9
6692,2016133CD1133,Serious,2016-12-13,Tuesday,Darkness - lights lit,1,0,0,West Yorkshire,Wet or damp,Single carriageway,None,30,17:00:00,Rural,Raining no high winds,36 - 45,Male,36 - 45_Male,9
